grupo;perstime;status
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;1
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
mamiferos;3;0
